player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Mark Andrews,BAL,TE,13,137.9,ffcalc-ppr-10tm-2026-08-02,161.5,17,move TE,low,move TE; 61 catches for 645 yards projected
Rashid Shaheed,SEA,WR,11,121.9,ffcalc-ppr-10tm-2026-08-02,143.4,17,big slot,med,big slot; 49 catches for 659 yards projected; status 2026-08-02: larger-role watch with no route or target confirmation [source: https://www.seahawks.com/news/10-storylines-to-watch-in-2026-seahawks-training-camp]
Jordan Love,GB,QB,11,142.2,ffcalc-ppr-10tm-2026-08-02,262.7,17,pocket QB,low,pocket QB; 185 rushing yards projected
Jauan Jennings,MIN,WR,6,139.1,ffcalc-ppr-10tm-2026-08-02,101.6,17,big slot,med,big slot; 37 catches for 466 yards projected
Jacksonville Jaguars,JAC,DST,7,132.2,ffcalc-ppr-10tm-2026-08-02,58.0,17,,med,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Omar Cooper Jr.,NYJ,WR,13,154.1,ffcalc-ppr-10tm-2026-08-02,107.6,17,big slot,med,big slot; 37 catches for 466 yards projected
Denzel Boston,CLE,WR,11,151.3,ffcalc-ppr-10tm-2026-08-02,104.6,17,big slot,med,big slot; 40 catches for 526 yards projected
Tre Tucker,LV,WR,13,135.2,ffcalc-ppr-10tm-2026-08-02,135.5,17,big slot,med,big slot; 52 catches for 655 yards projected
Isaiah Likely,NYG,TE,8,141.1,ffcalc-ppr-10tm-2026-08-02,145.6,17,move TE,low,move TE; 56 catches for 656 yards projected
Woody Marks,HOU,RB,8,139.2,ffcalc-ppr-10tm-2026-08-02,119.1,17,early-down committee back,high,early-down committee back; 135 carries + 27 catches projected
Dalton Kincaid,BUF,TE,7,146.7,ffcalc-ppr-10tm-2026-08-02,146.5,17,move TE,low,move TE; 52 catches for 645 yards projected
Jalen Nailor,LV,WR,13,158.5,ffcalc-ppr-10tm-2026-08-02,113.7,17,big slot,low,big slot; 44 catches for 577 yards projected
Detroit Lions,DET,DST,6,130.8,ffcalc-ppr-10tm-2026-08-02,65.6,17,,med,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Cameron Dicker,LAC,K,7,148.4,ffcalc-ppr-10tm-2026-08-02,170.7,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Jaydon Blue,DAL,RB,14,129.2,ffcalc-ppr-10tm-2026-08-02,46.5,17,handcuff,high,handcuff; 47 carries + 8 catches projected; status 2026-08-02: Javonte Williams is definitive RB1; RB2 contingency among Malik Davis Jaydon Blue and Phil Mafah unresolved; role context: Williams lead; RB2 unresolved [source: https://www.dallascowboys.com/news/cowboys-depth-chart-updated-look-at-offensive-starters-for-2026]
Cincinnati Bengals,CIN,DST,6,179.2,ffcalc-ppr-10tm-2026-08-02,45.9,17,,med,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Tyler Shough,NO,QB,8,138.4,ffcalc-ppr-10tm-2026-08-02,291.7,17,named QB1,low,rushing QB; 377 rushing yards projected; status 2026-08-02: named and unquestioned offensive leader [source: https://www.neworleanssaints.com/news/what-to-watch-for-at-new-orleans-saints-training-camp-2026]
Malik Willis,MIA,QB,6,161.4,ffcalc-ppr-10tm-2026-08-02,267.7,17,presumptive starter,low,rushing QB; 657 rushing yards projected; status 2026-08-02: presumptive starter with volatile receiver-room context [source: https://www.cbsnews.com/miami/news/dolphins-quarterback-malik-willis-prepares-for-first-training-camp-as-a-starter/]
Sam Darnold,SEA,QB,11,144.5,ffcalc-ppr-10tm-2026-08-02,261.7,17,official QB1,low,pocket QB; 125 rushing yards projected; status 2026-08-02: official depth-chart QB1 [source: https://www.seahawks.com/team/depth-chart]
Daniel Jones,IND,QB,13,160.5,ffcalc-ppr-10tm-2026-08-02,253.3,17,pocket QB,low,pocket QB; 278 rushing yards projected
C.J. Stroud,HOU,QB,8,157.3,ffcalc-ppr-10tm-2026-08-02,242.2,17,pocket QB,low,pocket QB; 218 rushing yards projected
Bryce Young,CAR,QB,5,170.4,ffcalc-ppr-10tm-2026-08-02,239.1,17,pocket QB,low,pocket QB; 229 rushing yards projected
Aaron Rodgers,PIT,QB,9,,,230.0,17,pocket QB,low,pocket QB; 80 rushing yards projected
Cam Ward,TEN,QB,9,174.5,ffcalc-ppr-10tm-2026-08-02,227.2,17,pocket QB,low,pocket QB; 207 rushing yards projected
Geno Smith,NYJ,QB,13,,,222.5,17,pocket QB,low,pocket QB; 157 rushing yards projected
Ka'imi Fairbairn,HOU,K,8,143.7,ffcalc-ppr-10tm-2026-08-02,161.9,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Jason Myers,SEA,K,11,141.8,ffcalc-ppr-10tm-2026-08-02,159.2,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Wil Lutz,DEN,K,10,176.1,ffcalc-ppr-10tm-2026-08-02,153.8,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Chase McLaughlin,TB,K,10,157.4,ffcalc-ppr-10tm-2026-08-02,152.4,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Eddy Pineiro,SF,K,8,156.8,ffcalc-ppr-10tm-2026-08-02,150.6,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Dalton Schultz,HOU,TE,8,173.8,ffcalc-ppr-10tm-2026-08-02,149.6,17,move TE,low,move TE; 67 catches for 646 yards projected
Harrison Butker,KC,K,5,167.0,ffcalc-ppr-10tm-2026-08-02,149.6,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Hunter Henry,NE,TE,11,154.5,ffcalc-ppr-10tm-2026-08-02,147.4,17,move TE,low,move TE; 55 catches for 624 yards projected
Will Reichard,MIN,K,6,163.7,ffcalc-ppr-10tm-2026-08-02,145.8,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Juwan Johnson,NO,TE,8,160.3,ffcalc-ppr-10tm-2026-08-02,145.6,17,move TE,low,move TE; 60 catches for 676 yards projected
Cam Little,JAC,K,7,159.6,ffcalc-ppr-10tm-2026-08-02,145.0,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Tyler Loop,BAL,K,13,160.4,ffcalc-ppr-10tm-2026-08-02,143.1,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Cairo Santos,CHI,K,10,151.9,ffcalc-ppr-10tm-2026-08-02,143.0,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Trey Smack,GB,K,11,,,142.0,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Tyler Bass,BUF,K,7,166.8,ffcalc-ppr-10tm-2026-08-02,141.5,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Jake Bates,DET,K,6,147.7,ffcalc-ppr-10tm-2026-08-02,141.3,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Blake Grupe,IND,K,13,,,141.0,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Andres Borregales,NE,K,11,166.5,ffcalc-ppr-10tm-2026-08-02,140.3,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Pat Freiermuth,PIT,TE,9,,,139.6,17,move TE,low,move TE; 53 catches for 566 yards projected
Greg Dulcich,MIA,TE,6,169.8,ffcalc-ppr-10tm-2026-08-02,138.6,17,move TE,low,move TE; 54 catches for 606 yards projected
Evan McPherson,CIN,K,6,170.0,ffcalc-ppr-10tm-2026-08-02,138.3,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Chris Boswell,PIT,K,9,156.6,ffcalc-ppr-10tm-2026-08-02,138.0,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
Jake Elliott,PHI,K,10,,,135.5,17,,low,"kicker; stream by the offense's implied team total, not by name; source projection scored with 3.82-points-per-FG distance-mix model"
T.J. Hockenson,MIN,TE,6,155.8,ffcalc-ppr-10tm-2026-08-02,133.8,17,move TE,low,move TE; 59 catches for 568 yards projected
Jerry Jeudy,CLE,WR,11,138.5,ffcalc-ppr-10tm-2026-08-02,133.5,17,big slot,low,big slot; 51 catches for 645 yards projected
Brenton Strange,JAC,TE,7,150.2,ffcalc-ppr-10tm-2026-08-02,132.1,17,move TE,low,move TE; 51 catches for 571 yards projected
Chigoziem Okonkwo,WAS,TE,7,164.4,ffcalc-ppr-10tm-2026-08-02,129.9,17,move TE,low,move TE; 57 catches for 549 yards projected
Tyrone Tracy Jr.,NYG,RB,8,156.8,ffcalc-ppr-10tm-2026-08-02,128.5,17,early-down committee back,high,early-down committee back; 114 carries + 32 catches projected
AJ Barner,SEA,TE,11,,,128.4,17,move TE,low,move TE; 54 catches for 504 yards projected
Rashod Bateman,BAL,WR,13,149.2,ffcalc-ppr-10tm-2026-08-02,125.2,17,big slot,low,big slot; 44 catches for 572 yards projected
Alvin Kamara,NO,RB,8,140.6,ffcalc-ppr-10tm-2026-08-02,124.3,17,early-down committee back,high,early-down committee back; 113 carries + 34 catches projected
Cade Otton,TB,TE,10,,,123.5,17,move TE,low,move TE; 53 catches for 525 yards projected
Evan Engram,DEN,TE,10,,,123.4,17,move TE,low,move TE; 57 catches for 484 yards projected
Jalen McMillan,TB,WR,10,138.7,ffcalc-ppr-10tm-2026-08-02,118.5,17,field-stretching Z,low,field-stretching Z; 39 catches for 555 yards projected
Oronde Gadsden,LAC,TE,7,169.5,ffcalc-ppr-10tm-2026-08-02,117.7,17,receiving/move TE,med,blocking TE; 42 catches for 517 yards projected; status 2026-08-02: receiving/move TE profile with breakout signal [source: https://www.chargers.com/news/training-camp-preview-oronde-gadsden-fantasy]
Dylan Sampson,CLE,RB,11,159.5,ffcalc-ppr-10tm-2026-08-02,114.1,17,handcuff,high,handcuff; 61 carries + 40 catches projected
Calvin Ridley,TEN,WR,9,137.3,ffcalc-ppr-10tm-2026-08-02,113.8,17,field-stretching Z,low,field-stretching Z; 39 catches for 568 yards projected
Mike Gesicki,CIN,TE,6,,,112.0,17,blocking TE,low,blocking TE; 43 catches for 450 yards projected
Zach Charbonnet,SEA,RB,11,141.5,ffcalc-ppr-10tm-2026-08-02,110.2,17,early-down committee back,high,early-down committee back; 128 carries + 19 catches projected; status 2026-08-02: PUP after ACL surgery; return timing unknown [source: https://www.seahawks.com/news/seahawks-rb-zach-charbonnet-placed-on-pup-list]
Mason Taylor,NYJ,TE,13,,,110.1,17,move TE,low,move TE; 50 catches for 481 yards projected
Gunnar Helm,TEN,TE,9,,,108.5,17,move TE,low,move TE; 45 catches for 455 yards projected
Adonai Mitchell,NYJ,WR,13,154.4,ffcalc-ppr-10tm-2026-08-02,108.2,17,big slot,low,big slot; 36 catches for 482 yards projected
Terrance Ferguson,LAR,TE,11,,,105.0,17,blocking TE,low,blocking TE; 37 catches for 440 yards projected
Michael Mayer,LV,TE,13,,,103.0,17,blocking TE,low,blocking TE; 43 catches for 420 yards projected
Minnesota Vikings,MIN,DST,6,129.0,ffcalc-ppr-10tm-2026-08-02,102.7,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Ty Johnson,BUF,RB,7,,,101.2,17,handcuff,high,handcuff; 52 carries + 29 catches projected
Isiah Pacheco,DET,RB,6,145.8,ffcalc-ppr-10tm-2026-08-02,100.8,17,early-down committee back,high,early-down committee back; 122 carries + 20 catches projected
Cooper Kupp,SEA,WR,11,159.5,ffcalc-ppr-10tm-2026-08-02,98.5,17,big slot,low,big slot; 36 catches for 445 yards projected
Chris Rodriguez Jr.,JAC,RB,7,155.1,ffcalc-ppr-10tm-2026-08-02,97.2,17,early-down committee back,high,early-down committee back; 129 carries + 10 catches projected
Los Angeles Chargers,LAC,DST,7,148.4,ffcalc-ppr-10tm-2026-08-02,94.4,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Buffalo Bills,BUF,DST,7,163.1,ffcalc-ppr-10tm-2026-08-02,93.2,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Justice Hill,BAL,RB,13,165.2,ffcalc-ppr-10tm-2026-08-02,92.2,17,handcuff,high,handcuff; 51 carries + 28 catches projected
Tyler Allgeier,ARI,RB,14,161.6,ffcalc-ppr-10tm-2026-08-02,87.5,17,handcuff,high,handcuff; 98 carries + 18 catches projected
Pittsburgh Steelers,PIT,DST,9,155.0,ffcalc-ppr-10tm-2026-08-02,86.6,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Travis Hunter,JAC,WR,7,162.9,ffcalc-ppr-10tm-2026-08-02,85.1,17,big slot,low,big slot; 34 catches for 391 yards projected
Brian Robinson Jr.,ATL,RB,11,156.2,ffcalc-ppr-10tm-2026-08-02,85.0,17,short-yardage complement,high,handcuff; 107 carries + 9 catches projected; status 2026-08-02: complementary physical and short-yardage back behind Bijan [source: https://www.atlantafalcons.com/news/falcons-2026-training-camp-preview-running-backs]
Green Bay Packers,GB,DST,11,151.2,ffcalc-ppr-10tm-2026-08-02,79.3,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Samaje Perine,CIN,RB,6,164.9,ffcalc-ppr-10tm-2026-08-02,74.2,17,handcuff,high,handcuff; 72 carries + 16 catches projected
Braelon Allen,NYJ,RB,13,170.8,ffcalc-ppr-10tm-2026-08-02,73.2,17,handcuff,high,handcuff; 91 carries + 10 catches projected
Baltimore Ravens,BAL,DST,13,163.0,ffcalc-ppr-10tm-2026-08-02,71.2,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Keaton Mitchell,LAC,RB,7,162.3,ffcalc-ppr-10tm-2026-08-02,71.1,17,handcuff,high,handcuff; 39 carries + 19 catches projected
Cleveland Browns,CLE,DST,11,179.3,ffcalc-ppr-10tm-2026-08-02,71.0,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Ray Davis,BUF,RB,7,163.2,ffcalc-ppr-10tm-2026-08-02,67.5,17,handcuff,high,handcuff; 62 carries + 12 catches projected
Keon Coleman,BUF,WR,7,,,63.7,17,field-stretching Z,low,field-stretching Z; 21 catches for 307 yards projected
Tank Bigsby,PHI,RB,10,163.4,ffcalc-ppr-10tm-2026-08-02,63.6,17,handcuff,high,handcuff; 87 carries + 5 catches projected; status 2026-08-02: A.J. Brown is with NE; PHI target allocation is unresolved under a new offense [source: https://www.philadelphiaeagles.com/news/eagles-trade-aj-brown-to-the-patriots]
New Orleans Saints,NO,DST,8,167.6,ffcalc-ppr-10tm-2026-08-02,63.2,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Emari Demercado,KC,RB,5,,,62.0,17,handcuff,high,handcuff; 51 carries + 19 catches projected
MarShawn Lloyd,GB,RB,11,,,60.5,17,handcuff,high,handcuff; 73 carries + 10 catches projected
Sean Tucker,TB,RB,10,,,60.4,17,handcuff,high,handcuff; 70 carries + 9 catches projected
Tampa Bay Buccaneers,TB,DST,10,,,58.9,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Kimani Vidal,LAC,RB,7,165.0,ffcalc-ppr-10tm-2026-08-02,58.9,17,handcuff,high,handcuff; 66 carries + 11 catches projected
Mike Washington Jr.,LV,RB,13,141.0,ffcalc-ppr-10tm-2026-08-02,57.6,17,handcuff,high,handcuff; 85 carries + 7 catches projected
George Holani,SEA,RB,11,,,54.1,17,handcuff,high,handcuff; 58 carries + 11 catches projected
Jaylen Wright,MIA,RB,6,,,53.7,17,handcuff,high,handcuff; 61 carries + 9 catches projected
Chicago Bears,CHI,DST,10,160.1,ffcalc-ppr-10tm-2026-08-02,53.6,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
Jordan James,SF,RB,8,158.5,ffcalc-ppr-10tm-2026-08-02,43.6,17,handcuff,high,handcuff; 59 carries + 7 catches projected
Indianapolis Colts,IND,DST,13,,,42.7,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets; existing D/ST model retained unchanged; FFToday D/ST is audit-only
DJ Giddens,IND,RB,13,,,41.5,17,handcuff,high,handcuff; 43 carries + 11 catches projected
Kaleb Johnson,PIT,RB,9,,,14.4,17,handcuff,high,handcuff; 29 carries + 2 catches projected
Trey Benson,ARI,RB,14,,,10.0,17,handcuff,high,handcuff; 23 carries + 0 catches projected
