corrected_rank,old_rank,delta,player,team,gp,mpg,fg_pct,fga_proj,ft_pct,fta_proj,volume_source,z,corrected_total_rank,corrected_points_rank,old_points_rank
243,201,-42,Baylor Scheierman,BOS,74.0,16.0,0.45,4.2,0.89,0.3,recovered,-4.235,219,258,241
244,247,3,Dailyn Swain,CHI,64.0,17.0,0.44,6.7,0.79,1.7,estimated,-4.333,246,220,221
245,252,7,Tyus Jones,DEN,64.0,17.0,0.43,4.5,0.8,0.5,stated,-4.367,245,254,253
246,230,-16,Tre Johnson,WAS,70.0,18.0,0.425,8.3,0.865,1.1,recovered,-4.375,231,232,227
247,,,Landry Shamet,NYK,61.0,20.0,0.44,5.4,0.76,2.0,estimated,-4.394,248,253,
248,,,Dalton Knecht,LAL,78.0,19.2,0.461,3.6,0.762,0.5,stated,-4.414,214,244,
249,251,2,Daniss Jenkins,DET,69.0,16.0,0.41,5.8,0.825,1.7,recovered,-4.429,235,235,234
250,154,-96,Dillon Brooks,PHX,82.0,28.7,0.44,15.2,0.747,3.0,stated,-4.444,216,190,122
251,246,-5,Trey Lyles,MIN,68.0,17.0,0.455,4.6,0.77,1.7,estimated,-4.449,238,249,245
252,249,-3,Kyle Kuzma,MIL,62.0,18.0,0.47,9.2,0.73,2.2,stated,-4.571,249,204,185
253,,,AJ Green,MIL,70.0,18.0,0.425,3.2,0.86,0.4,stated,-4.593,237,260,
254,236,-18,Aaron Wiggins,ATL,50.0,24.2,0.463,7.1,0.729,1.2,recovered,-4.628,255,227,243
255,238,-17,Terrence Shannon Jr,MIN,68.0,19.0,0.47,5.5,0.79,2.4,recovered,-4.630,241,248,226
256,256,0,Nolan Traoré,BKN,60.0,19.0,0.405,7.6,0.79,1.5,recovered,-4.783,251,209,213
257,234,-23,Klay Thompson,DAL,38.0,15.0,0.4,9.2,0.8,0.7,stated,-4.945,258,247,211
258,,,Oso Ighodaro,PHX,61.0,17.1,0.604,3.0,0.58,1.0,stated,-5.014,252,256,
259,258,-1,Sion James,CHA,76.0,15.0,0.4,4.7,0.82,0.8,recovered,-5.137,242,257,258
260,65,-195,Dyson Daniels,ATL,59.0,17.7,0.418,3.3,0.65,0.9,recovered,-5.392,256,255,74
261,261,0,Dorian Finney-Smith,CHA,50.0,17.0,0.39,4.5,0.75,0.2,recovered,-5.597,257,261,262
262,,,Donte DiVincenzo,MIN,27.0,15.2,0.403,3.7,0.75,1.5,estimated,-5.988,264,264,
263,,,Nick Boyd,GSW,23.0,15.0,0.423,3.8,0.769,1.5,estimated,-6.537,265,265,
264,,,Kam Jones,MIL,37.0,16.6,0.402,3.0,0.5,0.5,stated,-6.692,263,259,
265,,,Zach Collins,CHI,66.0,15.8,0.398,3.6,0.643,1.6,estimated,-7.150,260,263,
