player,team,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Chris Mañon,LAL,9.0,5.1,0.333,,0.75,,0.0,0.8,1.1,0.3,0.6,0.2,0.1
Collin Sexton,LAL,68.0,24.0,,,,,1.4,14.3,2.4,3.5,0.9,0.1,2.1
Dalton Knecht,LAL,78.0,19.2,0.461,,0.762,,1.6,9.1,2.8,0.8,0.3,0.1,0.5
Jaden Hardy,LAL,48.0,14.8,0.438,,0.823,,1.3,8.8,1.9,1.4,0.4,0.1,1.0
Jake LaRavia,LAL,74.0,22.0,,,,,1.1,7.7,3.8,1.6,0.9,0.4,1.0
Jarred Vanderbilt,LAL,58.0,8.0,,,,,0.2,2.2,2.4,0.7,0.5,0.2,0.5
Kevon Looney,LAL,58.0,14.0,,,,,0.0,3.6,5.5,1.5,0.4,0.4,0.5
Luka Dončić,LAL,66.0,34.0,,,,,3.8,32.0,7.8,9.0,1.5,0.5,4.1
Quentin Grimes,LAL,72.0,30.0,,,,,2.1,14.2,3.7,3.2,1.0,0.4,1.7
Sandro Mamukelashvili,LAL,72.0,24.0,,,,,1.5,12.0,5.5,2.0,0.6,0.5,1.1
Walker Kessler,LAL,65.0,30.0,,,,,0.3,12.9,11.8,2.1,0.7,2.4,1.4
Ziaire Williams,LAL,64.0,12.0,,,,,0.8,5.2,1.9,0.6,0.6,0.3,0.6
AJ Johnson,MEM,0.0,0.0,,,,,,,,,,,
Cam Spencer,MEM,68.0,15.0,,,,,1.4,7.1,1.6,3.4,0.4,0.1,0.8
Cameron Boozer,MEM,72.0,32.0,,,,,1.5,19.9,8.7,3.6,1.0,0.6,2.5
Carson Cooper,MEM,0.0,0.0,,,,,,,,,,,
Cedric Coward,MEM,70.0,30.0,,,,,1.8,15.6,6.3,3.3,0.8,0.5,1.9
D'Angelo Russell,MEM,0.0,0.0,,,,,,,,,,,
GG Jackson,MEM,56.0,9.0,,,,,0.6,5.0,1.8,0.6,0.3,0.3,0.7
Isaiah Stewart,MEM,64.0,15.0,,,,,0.4,6.8,3.9,0.8,0.3,1.0,0.8
Jahmai Mashack,MEM,0.0,0.0,,,,,,,,,,,
Javon Small,MEM,0.0,0.0,,,,,,,,,,,
Jaylen Wells,MEM,68.0,24.0,,,,,1.8,11.4,3.1,1.6,0.8,0.1,1.0
Jerami Grant,MEM,60.0,24.0,,,,,2.1,15.2,3.1,1.7,0.6,0.5,1.6
Karim Lopez,MEM,0.0,0.0,,,,,,,,,,,
Kentavious Caldwell-Pope,MEM,0.0,0.0,,,,,,,,,,,
Kris Murray,MEM,0.0,0.0,,,,,,,,,,,
Olivier-Maxence Prosper,MEM,58.0,7.0,,,,,0.4,3.4,1.3,0.4,0.3,0.1,0.4
Quinten Post,MEM,64.0,14.0,,,,,1.1,6.4,3.2,1.1,0.3,0.4,0.7
Richie Saunders,MEM,0.0,0.0,,,,,,,,,,,
Scotty Pippen Jr,MEM,55.0,8.0,,,,,0.3,4.0,1.0,1.8,0.6,0.1,0.9
Taj Gibson,MEM,0.0,0.0,,,,,,,,,,,
Taylor Hendricks,MEM,55.0,5.0,,,,,0.4,2.2,1.2,0.3,0.2,0.2,0.3
Ty Jerome,MEM,45.0,22.0,,,,,2.1,14.8,2.5,5.0,0.9,0.2,1.7
Walter Clayton Jr,MEM,68.0,20.0,,,,,1.1,8.4,2.0,4.6,0.7,0.2,1.6
Zach Edey,MEM,48.0,26.0,,,,,0.1,13.5,10.5,1.2,0.5,1.8,2.1
Andrew Wiggins,MIA,68.0,31.0,0.48,,0.79,,2.1,15.3,4.6,2.4,1.0,0.8,1.4
Bam Adebayo,MIA,72.0,34.0,0.49,,0.79,,1.0,18.2,9.0,4.0,1.2,0.8,2.0
Bobby Portis,MIA,68.0,24.0,0.495,,0.73,,1.7,12.2,6.3,1.4,0.5,0.2,0.9
Davion Mitchell,MIA,72.0,29.0,0.475,,0.67,,1.3,9.4,2.8,6.3,1.1,0.2,1.6
Dru Smith,MIA,66.0,12.0,0.42,,0.82,,0.4,4.2,1.8,2.0,1.0,0.2,0.7
Giannis Antetokounmpo,MIA,60.0,32.0,0.605,,0.665,,0.7,26.6,10.1,5.9,1.0,0.8,3.3
Myron Gardner,MIA,54.0,5.0,0.5,,0.75,,0.2,2.1,1.5,0.5,0.3,0.1,0.2
Nikola Jović,MIA,55.0,8.0,0.405,,0.73,,0.5,3.7,1.8,1.1,0.3,0.2,0.7
Pelle Larsson,MIA,72.0,24.0,0.495,,0.8,,0.8,10.1,3.3,3.1,0.7,0.2,1.3
Ryan Conwell,MIA,45.0,6.0,0.41,,0.82,,0.7,2.7,0.8,0.4,0.2,0.0,0.2
Simone Fontecchio,MIA,65.0,10.0,0.42,,0.84,,1.1,5.3,1.9,0.8,0.3,0.1,0.4
Tim Hardaway Jr,MIA,74.0,25.0,0.445,,0.82,,2.5,12.3,2.5,1.4,0.5,0.1,0.6
Tre Donaldson,MIA,24.0,5.0,0.42,,0.76,,0.2,1.8,0.5,0.8,0.2,0.0,0.4
Vladislav Goldin,MIA,20.0,4.0,0.6,,0.65,,0.0,1.5,1.2,0.2,0.1,0.3,0.2
AJ Green,MIL,70.0,18.0,,,,,2.0,6.8,1.7,1.2,0.4,0.1,0.7
Brayden Burries,MIL,70.0,16.0,,,,,1.1,9.0,3.1,1.9,0.8,0.3,1.3
Caris LeVert,MIL,57.0,21.7,0.45,,0.72,,1.0,8.2,3.3,1.9,0.9,0.1,1.0
Cormac Ryan,MIL,11.0,24.6,0.52,,0.923,,2.5,14.3,2.5,1.7,1.0,0.3,1.5
Gary Trent Jr,MIL,62.0,14.0,,,,,1.4,5.6,0.8,0.8,0.4,0.1,0.6
Jaime Jaquez Jr,MIL,72.0,28.0,,,,,0.8,15.0,5.4,4.6,0.8,0.3,2.1
Jericho Sims,MIL,41.0,13.5,0.722,,0.414,,0.0,2.2,4.1,0.5,0.3,0.5,0.5
Kam Jones,MIL,37.0,16.6,0.402,,0.5,,0.6,4.4,1.6,3.2,0.5,0.0,1.0
Kasparas Jakučionis,MIL,68.0,12.0,,,,,0.9,5.6,1.9,2.3,0.5,0.1,0.9
Kel'el Ware,MIL,74.0,28.0,,,,,1.4,14.5,11.0,1.0,0.9,1.4,1.2
Kevin Porter Jr,MIL,50.0,10.0,,,,,0.4,5.7,1.9,2.5,0.8,0.2,1.2
Kyle Kuzma,MIL,62.0,18.0,,,,,0.8,9.6,3.6,2.0,0.5,0.3,1.3
Malique Lewis,MIL,30.0,9.0,,,,,0.5,3.1,2.0,0.7,0.5,0.2,0.5
Myles Turner,MIL,65.0,25.0,,,,,2.0,12.4,5.6,1.3,0.6,1.6,1.1
Ousmane Dieng,MIL,66.0,8.0,,,,,0.5,3.6,1.6,1.2,0.3,0.2,0.7
Pete Nance,MIL,8.0,3.4,0.167,,0.0,,0.1,0.4,0.4,0.1,0.1,0.0,0.3
Ryan Rollins,MIL,70.0,32.0,,,,,2.5,18.6,4.8,6.0,1.5,0.4,2.8
Tyler Herro,MIL,55.0,31.0,,,,,2.9,22.5,4.8,4.9,0.8,0.3,2.3
Anthony Edwards,MIN,68.0,35.0,0.48,,0.81,,3.3,27.5,5.1,4.4,1.3,0.7,2.8
Ayo Dosunmu,MIN,68.0,31.0,0.49,,0.855,,1.6,14.2,3.8,3.8,1.0,0.3,1.5
Bones Hyland,MIN,62.0,13.0,0.445,,0.8,,1.1,6.2,1.3,1.9,0.4,0.1,0.8
Donte DiVincenzo,MIN,27.0,15.2,0.403,,0.75,,0.8,4.9,2.4,1.1,0.5,0.2,0.7
Enrique Freeman,MIN,15.0,8.0,0.53,,0.7,,0.2,3.0,2.0,0.4,0.3,0.4,0.4
Isaiah Evans,MIN,25.0,8.0,0.41,,0.76,,0.7,3.0,0.8,0.3,0.2,0.1,0.4
Jaden McDaniels,MIN,70.0,33.0,0.505,,0.82,,1.5,15.4,4.4,2.8,1.2,1.0,1.8
Jaylen Clark,MIN,40.0,10.0,0.44,,0.66,,0.4,3.0,1.4,0.5,0.5,0.1,0.3
Joan Beringer,MIN,62.0,16.0,0.64,,0.62,,0.0,7.2,5.4,0.7,0.4,1.3,0.8
Josh Green,MIN,62.0,19.0,0.465,,0.82,,1.4,5.5,2.2,1.0,0.7,0.1,0.7
LaMelo Ball,MIN,64.0,31.0,0.42,,0.89,,3.7,19.0,4.9,7.6,1.3,0.3,2.8
Rocco Zikarsky,MIN,12.0,8.0,0.61,,0.6,,0.0,3.0,2.6,0.3,0.1,0.8,0.4
Rudy Gobert,MIN,69.0,30.0,0.67,,0.53,,0.0,10.4,11.4,1.5,0.7,1.5,1.3
Terrence Shannon Jr,MIN,68.0,19.0,0.47,,0.79,,1.1,8.2,2.2,1.2,0.5,0.2,0.9
Trey Kaufman-Renn,MIN,25.0,8.0,,,,,0.1,3.2,2.2,0.6,0.2,0.2,0.4
Trey Lyles,MIN,68.0,17.0,0.455,,0.77,,1.2,6.7,3.4,1.1,0.4,0.3,0.7
Zyon Pullin,MIN,15.0,8.0,0.46,,0.8,,0.4,3.5,1.1,1.4,0.3,0.0,0.5
Bryce McGowens,NOP,48.0,10.0,0.46,,0.78,,0.4,4.1,1.2,0.8,0.3,0.1,0.4
DeAndre Jordan,NOP,18.0,8.0,0.65,,0.6,,0.0,2.1,2.8,0.3,0.1,0.4,0.4
Dejounte Murray,NOP,55.0,30.0,0.465,,0.835,,1.4,17.0,5.3,6.5,1.5,0.3,2.8
Derik Queen,NOP,80.0,28.0,0.48,,0.79,,0.4,13.3,7.9,4.0,1.1,0.9,2.3
Herb Jones,NOP,68.0,26.0,0.42,,0.8,,1.2,8.4,3.3,2.6,1.7,0.6,1.1
Hunter Dickinson,NOP,14.0,7.0,0.45,,0.75,,0.1,2.0,1.5,0.4,0.1,0.3,0.3
Jaron Pierre Jr,NOP,12.0,5.0,0.395,,0.76,,0.3,2.0,0.8,0.3,0.2,0.1,0.4
Jeremiah Fears,NOP,80.0,28.0,0.438,,0.795,,1.3,15.9,4.0,4.2,1.3,0.4,2.4
Jordan Hawkins,NOP,50.0,12.0,0.385,,0.85,,0.9,4.9,1.3,0.7,0.3,0.1,0.5
Jordan Poole,NOP,55.0,14.0,0.41,,0.86,,1.3,7.8,1.3,1.9,0.5,0.2,1.1
Josh Oduro,NOP,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karlo Matković,NOP,62.0,17.0,0.59,,0.73,,0.7,7.0,4.4,0.9,0.4,1.0,0.6
Micah Peavy,NOP,52.0,9.0,0.4,,0.76,,0.3,2.5,1.1,0.6,0.4,0.1,0.3
Saddiq Bey,NOP,70.0,27.0,0.45,,0.84,,1.7,15.2,5.2,2.1,0.9,0.2,1.0
Trey Murphy III,NOP,62.0,33.0,0.47,,0.885,,2.9,20.3,5.4,3.5,1.4,0.4,1.7
Yves Missi,NOP,68.0,21.0,0.56,,0.585,,0.0,6.3,6.4,1.3,0.3,1.6,0.9
Zion Williamson,NOP,60.0,31.0,0.59,,0.715,,0.1,22.4,6.3,4.1,1.0,0.6,2.5
Andre Drummond,NYK,62.0,17.0,0.535,,0.62,,0.0,5.8,7.6,1.1,0.6,0.7,0.9
Jack Kayil,NYK,18.0,7.0,0.41,,0.78,,0.4,2.4,0.7,0.9,0.3,0.0,0.5
Jalen Brunson,NYK,70.0,34.0,0.472,,0.845,,2.6,25.4,3.2,6.8,0.8,0.1,2.4
Jordan Clarkson,NYK,48.0,10.0,0.445,,0.825,,0.6,4.8,1.0,0.8,0.3,0.1,0.6
Jose Alvarado,NYK,68.0,14.0,0.415,,0.775,,1.0,5.1,1.8,2.5,0.7,0.1,0.8
Josh Hart,NYK,68.0,26.0,0.505,,0.73,,1.2,10.4,6.6,4.1,1.0,0.3,1.6
Karl-Anthony Towns,NYK,68.0,31.0,0.51,,0.85,,1.8,20.5,11.5,3.2,0.9,0.6,2.4
Landry Shamet,NYK,61.0,20.0,0.44,,0.76,,1.9,8.2,1.6,1.2,0.5,0.1,0.6
Mikal Bridges,NYK,80.0,32.0,0.49,,0.825,,1.8,14.3,3.8,3.6,1.2,0.7,1.0
Miles McBride,NYK,64.0,23.0,0.425,,0.8,,2.3,10.2,2.2,2.4,0.8,0.2,0.7
Mohamed Diawara,NYK,52.0,10.0,0.44,,0.72,,0.7,4.3,1.7,0.7,0.4,0.2,0.6
OG Anunoby,NYK,64.0,33.0,0.482,,0.825,,2.3,16.6,5.2,2.2,1.5,0.7,1.7
Pacôme Dadiet,NYK,28.0,8.0,0.42,,0.72,,0.4,2.7,1.1,0.4,0.2,0.1,0.3
Tyler Kolek,NYK,40.0,9.0,0.435,,0.72,,0.5,3.2,1.1,2.0,0.3,0.1,0.7
Tyler Nickel,NYK,24.0,8.0,0.43,,0.8,,0.7,3.1,1.2,0.3,0.2,0.1,0.3
Aday Mara,OKC,28.0,7.0,0.55,2.0,0.65,0.6,0.0,2.6,2.1,0.6,0.2,0.6,0.6
Ajay Mitchell,OKC,55.0,24.0,0.485,9.7,0.865,2.5,1.1,12.7,3.2,3.5,1.1,0.3,1.4
Alex Caruso,OKC,58.0,17.0,0.43,4.7,0.8,0.9,0.9,5.6,2.6,2.0,1.2,0.3,0.8
Bennett Stirtz,OKC,26.0,7.0,0.42,2.4,0.8,0.5,0.5,2.7,0.9,1.3,0.3,0.1,0.6
Brooks Barnhizer,OKC,40.0,8.7,0.38,,0.7,,0.2,1.7,2.0,0.6,0.3,0.1,0.3
Cason Wallace,OKC,76.0,27.0,0.44,7.7,0.815,1.2,1.4,9.2,3.2,3.0,1.9,0.4,0.9
Chet Holmgren,OKC,67.0,29.0,0.55,11.6,0.8,4.3,1.4,17.6,9.0,1.8,0.7,1.9,1.6
Isaiah Hartenstein,OKC,58.0,23.0,0.62,6.0,0.65,2.2,0.0,8.8,9.0,3.4,1.0,0.8,1.6
Jalen Williams,OKC,58.0,30.0,0.5,14.4,0.84,4.0,1.2,19.0,4.8,5.2,1.2,0.4,2.0
Jared McCain,OKC,64.0,17.0,0.455,6.8,0.865,0.9,1.7,8.7,1.9,1.4,0.5,0.1,0.8
Jaylin Williams,OKC,64.0,9.0,0.43,3.0,0.79,0.3,0.7,3.4,2.7,1.2,0.3,0.4,0.5
Kenrich Williams,OKC,50.0,8.0,0.47,2.8,0.65,0.3,0.6,3.4,2.0,0.8,0.4,0.2,0.4
Nikola Topic,OKC,42.0,4.0,0.43,1.2,0.7,0.3,0.2,1.4,0.6,1.2,0.2,0.0,0.6
Shai Gilgeous-Alexander,OKC,70.0,33.0,0.55,19.6,0.88,8.8,1.7,31.0,4.5,6.7,1.4,0.7,2.3
Thomas Sorber,OKC,46.0,5.0,0.52,1.5,0.7,,0.0,1.9,1.6,0.4,0.2,0.3,0.3
Alex Morales,ORL,4.0,6.0,0.429,,0.0,,0.0,2.0,0.8,1.0,0.0,0.0,0.0
Anthony Black,ORL,70.0,26.0,0.45,10.4,0.75,2.8,1.5,13.0,3.4,3.6,1.2,0.6,1.9
Colin Castleton,ORL,16.0,3.7,0.563,,0.0,,0.0,1.5,0.8,0.2,0.1,0.0,0.2
Desmond Bane,ORL,78.0,33.0,0.485,14.1,0.9,3.6,2.2,19.0,4.2,4.4,1.1,0.5,1.8
Franz Wagner,ORL,58.0,30.0,0.485,13.9,0.83,5.4,1.4,19.3,5.0,3.7,0.9,0.4,1.8
Goga Bitadze,ORL,62.0,9.0,0.64,2.2,0.7,1.0,0.0,3.5,3.0,0.8,0.4,0.6,0.4
Jalen Suggs,ORL,60.0,26.0,0.435,9.9,0.85,1.8,1.9,12.0,3.5,4.8,1.5,0.6,2.3
Jamal Cain,ORL,30.0,8.0,0.47,2.3,0.75,0.4,0.5,3.0,1.3,0.5,0.3,0.2,0.4
Jase Richardson,ORL,60.0,9.0,0.47,2.8,0.74,0.6,0.5,3.5,1.0,0.9,0.3,0.0,0.4
Jevon Carter,ORL,62.0,12.0,0.4,4.0,0.8,0.5,1.1,4.7,1.2,1.2,0.6,0.2,0.6
Jonathan Isaac,ORL,40.0,10.0,0.44,2.3,0.65,0.9,0.2,2.8,2.3,0.5,0.5,0.7,0.3
Nikola Vucevic,ORL,62.0,13.0,0.5,5.5,0.82,0.7,0.7,6.9,3.9,1.5,0.3,0.3,0.6
Noah Penda,ORL,68.0,10.0,0.45,2.7,0.7,0.6,0.4,3.2,2.6,1.0,0.5,0.3,0.6
Paolo Banchero,ORL,68.0,34.0,0.465,16.1,0.775,8.5,1.3,22.9,8.3,5.2,0.8,0.6,3.1
Tristan da Silva,ORL,74.0,14.0,0.455,4.6,0.875,0.6,0.9,5.6,2.1,0.9,0.5,0.2,0.5
Wendell Carter Jr,ORL,68.0,24.0,0.515,6.7,0.79,2.3,0.8,9.6,6.1,1.6,0.7,0.6,1.1
Adem Bona,PHI,65.0,16.0,,,,,0.0,4.3,4.0,0.5,0.4,1.1,0.7
Anfernee Simons,PHI,60.0,23.0,,,,,2.2,11.1,2.0,2.3,0.4,0.1,1.0
Ariel Hukporti,PHI,35.0,9.0,,,,,0.0,2.4,2.8,0.4,0.2,0.5,0.5
Caleb Love,PHI,28.0,10.0,,,,,0.8,4.2,1.1,1.3,0.3,0.1,0.6
Dalen Terry,PHI,38.0,10.0,,,,,0.4,3.1,1.6,1.2,0.5,0.2,0.5
Dean Wade,PHI,62.0,23.0,,,,,1.3,6.0,4.2,1.5,0.6,0.4,0.4
Dominick Barlow,PHI,64.0,20.0,,,,,0.2,6.2,4.2,1.1,0.7,0.6,0.7
Duke Miles,PHI,12.0,7.0,,,,,0.3,2.2,0.5,0.7,0.3,0.0,0.4
Jabari Walker,PHI,48.0,10.0,,,,,0.4,3.4,2.6,0.4,0.3,0.2,0.4
Jaylen Brown,PHI,67.0,34.0,,,,,2.1,24.3,6.1,4.1,0.9,0.4,2.9
Joel Embiid,PHI,40.0,31.0,,,,,1.2,24.6,7.9,4.0,0.6,1.2,2.8
Johni Broome,PHI,25.0,8.0,,,,,0.3,3.4,2.3,0.5,0.2,0.3,0.5
Justin Edwards,PHI,62.0,14.0,,,,,0.9,5.1,1.6,1.2,0.7,0.2,0.5
Labaron Philon Jr,PHI,44.0,12.0,,,,,0.7,5.5,1.5,2.1,0.5,0.1,1.0
Rayan Rupert,PHI,25.0,9.0,,,,,0.6,3.1,1.3,0.8,0.4,0.1,0.4
Tyrese Maxey,PHI,68.0,34.0,,,,,3.0,25.9,4.0,6.1,1.5,0.5,2.3
VJ Edgecombe,PHI,72.0,32.0,,,,,1.9,14.9,5.2,3.8,1.3,0.5,1.6
CJ Huntley,PHX,4.0,10.0,0.545,,,,0.0,3.0,1.3,0.5,0.3,0.0,0.0
Collin Gillespie,PHX,24.0,9.4,0.464,,0.667,,0.6,3.6,0.9,1.1,0.5,0.0,0.6
Devin Booker,PHX,76.0,27.7,0.423,,0.84,,1.3,13.8,2.5,2.6,0.6,0.3,2.1
Dillon Brooks,PHX,82.0,28.7,0.44,,0.747,,1.1,11.0,3.1,1.6,0.9,0.2,1.5
Haywood Highsmith,PHX,5.0,8.0,0.4,,0.0,,0.2,1.8,1.0,0.4,0.2,0.0,0.2
Isaiah Livers,PHX,19.0,20.2,0.456,,0.857,,1.4,6.4,3.0,1.1,0.7,0.4,0.8
Jalen Green,PHX,67.0,31.9,0.426,,0.797,,2.3,17.3,3.4,2.6,0.7,0.3,2.0
Jamaree Bouyea,PHX,4.0,16.3,0.462,,0.5,,0.5,3.8,1.3,1.0,1.0,0.5,1.0
Jordan Goodwin,PHX,2.0,3.0,0.0,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Khaman Maluach,PHX,46.0,8.9,0.533,,0.71,,0.1,3.0,2.9,0.1,0.1,0.7,0.5
Koby Brea,PHX,12.0,7.0,0.417,,0.0,,1.0,3.8,0.7,0.8,0.1,0.0,0.3
Luke Kennard,PHX,73.0,20.0,0.443,,0.855,,1.1,7.6,2.4,1.7,0.6,0.2,0.9
Mark Williams,PHX,43.0,19.3,0.637,,0.691,,0.0,9.0,7.1,0.4,0.7,1.0,0.9
Miles Bridges,PHX,80.0,21.2,0.464,,0.753,,0.8,7.5,4.0,1.2,0.7,0.6,0.6
Oso Ighodaro,PHX,61.0,17.1,0.604,,0.58,,0.0,4.2,3.6,1.2,0.5,0.5,0.6
Pat Spencer,PHX,6.0,4.3,0.5,,0.5,,0.0,0.7,0.7,0.8,0.0,0.0,1.0
Rasheer Fleming,PHX,55.0,12.2,0.405,,0.559,,0.8,4.3,2.3,0.3,0.4,0.4,0.5
Ryan Dunn,PHX,74.0,19.1,0.43,,0.487,,1.1,6.9,3.6,0.8,0.6,0.5,0.5
Blake Wesley,POR,0.0,0.0,,,,,,,,,,,
Branden Carlson,POR,35.0,9.0,0.525,,0.65,,0.6,4.5,2.3,0.5,0.1,0.4,0.4
Chris Youngblood,POR,18.0,6.0,0.41,,0.8,,0.6,2.2,0.6,0.3,0.1,0.0,0.3
Damian Lillard,POR,52.0,29.0,0.43,,0.895,,3.1,20.2,3.5,5.8,0.7,0.2,2.7
Deni Avdija,POR,70.0,33.0,0.468,,0.805,,1.9,21.4,6.7,5.6,0.9,0.6,3.2
Donovan Clingan,POR,72.0,29.0,0.53,,0.69,,1.0,13.0,11.1,2.2,0.6,1.8,1.3
Ja Morant,POR,50.0,31.0,0.455,,0.79,,1.2,21.8,3.7,7.3,1.0,0.3,3.2
Jayson Kent,POR,20.0,7.0,0.52,,0.75,,0.3,3.2,1.6,0.4,0.2,0.2,0.3
Jrue Holiday,POR,62.0,23.0,0.455,,0.83,,1.9,12.0,3.8,4.8,1.1,0.3,2.0
Matisse Thybulle,POR,0.0,0.0,,,,,,,,,,,
Micah Potter,POR,30.0,8.0,0.44,,0.76,,0.8,4.0,2.1,0.6,0.2,0.3,0.4
Robert Williams III,POR,52.0,17.0,0.7,,0.62,,0.0,6.8,7.0,1.1,0.7,1.5,0.9
Scoot Henderson,POR,58.0,21.0,0.42,,0.81,,1.3,12.2,2.8,4.6,0.9,0.2,2.4
Shaedon Sharpe,POR,64.0,29.0,0.45,,0.8,,2.1,19.2,4.2,2.5,1.2,0.2,2.4
Sidy Cissoko,POR,55.0,10.0,0.42,,0.66,,0.4,2.7,1.2,0.8,0.4,0.1,0.5
Toumani Camara,POR,76.0,31.0,0.445,,0.72,,2.2,12.2,5.3,2.3,1.2,0.5,1.6
Vít Krejčí,POR,58.0,12.0,0.42,,0.75,,0.9,4.5,1.7,1.1,0.4,0.1,0.6
Yang Hansen,POR,40.0,7.0,0.4,,0.75,,0.2,2.2,1.5,0.5,0.1,0.3,0.6
Adam Flagler,SAC,36.0,30.7,0.438,,0.835,,,15.9,3.4,1.3,0.8,,
Alex Karaban,SAC,40.0,7.0,0.44,,0.85,,0.4,1.8,0.8,0.3,0.1,0.1,0.2
Daeqwon Plowden,SAC,62.0,7.0,0.43,,0.82,,0.5,3.0,1.1,0.4,0.3,0.1,0.4
Darius Acuff Jr,SAC,72.0,31.0,0.439,,0.817,,1.8,17.8,3.2,5.9,0.9,0.1,2.8
De'Andre Hunter,SAC,68.0,28.0,0.438,,0.852,,1.9,14.8,4.5,2.0,0.8,0.2,1.6
Domantas Sabonis,SAC,62.0,30.0,0.568,,0.75,,0.4,16.8,11.8,5.2,0.8,0.3,2.6
Dylan Cardwell,SAC,38.0,7.0,0.59,,0.54,,0.0,2.0,2.5,0.4,0.2,0.5,0.3
Emanuel Sharp,SAC,45.0,7.0,0.41,,0.82,,0.6,2.5,0.6,0.3,0.2,0.1,0.3
Isaiah Stevens,SAC,20.0,6.0,0.43,,0.8,,0.1,1.4,0.5,1.3,0.3,0.0,0.3
Jonathan Mogbo,SAC,63.0,20.4,0.438,,0.732,,0.3,6.2,4.9,2.3,0.9,0.5,1.1
Keegan Murray,SAC,68.0,32.0,0.445,,0.808,,2.0,15.2,6.2,1.8,1.0,1.2,1.1
Malik Monk,SAC,68.0,25.0,0.44,,0.86,,2.0,13.0,2.0,3.7,0.7,0.4,1.7
Maxime Raynaud,SAC,70.0,16.0,0.56,,0.78,,0.3,9.0,5.4,1.1,0.4,0.5,1.0
Nique Clifford,SAC,74.0,23.0,0.43,,0.75,,1.0,9.2,4.0,2.3,0.9,0.4,1.4
Precious Achiuwa,SAC,72.0,12.0,0.53,,0.6,,0.2,5.1,3.6,0.7,0.5,0.4,0.6
Zach LaVine,SAC,62.0,30.0,0.474,,0.871,,2.4,18.4,3.0,2.6,0.7,0.3,1.9
Carter Bryant,SAS,65.0,13.0,0.43,,0.74,,0.9,5.2,2.9,0.6,0.4,0.4,0.5
De'Aaron Fox,SAS,70.0,30.0,0.48,,0.78,,1.8,19.5,3.9,6.4,1.3,0.3,2.4
Devin Vassell,SAS,68.0,28.0,0.445,,0.82,,2.4,14.5,4.1,2.6,0.9,0.4,0.9
Dylan Harper,SAS,72.0,27.0,0.5,,0.77,,1.1,14.5,4.0,4.6,0.9,0.3,1.7
Emanuel Miller,SAS,10.0,6.0,0.45,,0.75,,0.3,2.4,1.2,0.4,0.3,0.1,0.3
Harrison Barnes,SAS,50.0,10.0,0.46,,0.83,,0.8,5.2,1.9,0.8,0.3,0.1,0.4
Ja'Kobi Gillespie,SAS,20.0,7.0,0.43,,0.8,,0.5,3.5,0.9,1.4,0.4,0.1,0.5
Jayden Quaintance,SAS,5.0,6.0,0.52,,0.65,,0.1,2.2,2.0,0.3,0.3,0.5,0.5
Jordan McLaughlin,SAS,35.0,6.0,0.42,,0.85,,0.3,1.7,0.6,0.8,0.4,0.0,0.2
Julian Champagnie,SAS,78.0,27.0,0.44,,0.85,,2.4,11.4,5.6,1.5,0.8,0.5,0.8
Keldon Johnson,SAS,75.0,16.0,0.505,,0.79,,0.9,9.6,3.9,1.1,0.5,0.1,0.6
Luke Kornet,SAS,70.0,14.0,0.635,,0.78,,0.0,4.8,4.4,1.2,0.4,0.8,0.3
Maliq Brown,SAS,12.0,6.0,0.52,,0.65,,0.1,2.2,2.1,0.6,0.6,0.3,0.5
Stephon Castle,SAS,72.0,30.0,0.47,,0.75,,1.4,17.5,5.4,7.2,1.2,0.3,3.1
Tarris Reed Jr,SAS,50.0,7.0,0.61,,0.7,,0.0,3.2,3.2,0.5,0.3,0.5,0.5
Tobias Harris,SAS,65.0,21.0,0.475,,0.86,,1.1,10.4,4.2,1.8,0.7,0.3,0.8
Victor Wembanyama,SAS,68.0,31.0,0.515,,0.83,,2.0,26.5,12.0,3.4,1.1,3.2,2.5
A.J. Lawson,TOR,0.0,0.0,,,,,,,,,,,
Alijah Martin,TOR,35.0,10.0,0.38,,0.78,,0.8,4.2,2.0,1.0,0.6,0.2,0.6
Allen Graves,TOR,60.0,14.0,0.44,,0.75,,0.7,4.9,3.1,1.0,0.9,0.5,0.7
Brandon Ingram,TOR,67.0,33.0,0.474,,0.82,,1.8,21.3,5.4,3.8,0.8,0.6,2.4
Chucky Hepburn,TOR,10.0,9.0,0.39,,0.78,,0.5,2.7,1.1,1.8,0.5,0.1,0.7
Collin Murray-Boyles,TOR,72.0,29.0,0.553,,0.68,,0.6,12.5,7.0,2.7,1.2,1.1,1.5
Gradey Dick,TOR,68.0,12.0,0.43,,0.86,,0.8,4.4,1.5,0.7,0.4,0.1,0.4
Immanuel Quickley,TOR,63.0,32.0,0.443,,0.835,,2.6,17.0,4.0,6.2,1.2,0.1,1.7
Ja'Kobe Walter,TOR,70.0,22.0,0.435,,0.79,,1.6,8.8,2.9,1.4,1.0,0.2,0.7
Jaden Bradley,TOR,18.0,9.0,0.42,,0.76,,0.5,3.2,1.1,1.6,0.5,0.1,0.7
Jakob Poeltl,TOR,55.0,24.0,0.665,,0.61,,0.0,10.2,7.0,2.0,0.8,0.8,1.2
